番号,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
1,0,0,0,0,0,1,0,1,1,0
2,1,0,0,0,1,0,1,1,0,0
3,0,0,0,0,0,1,0,0,1,0
4,1,0,1,0,0,1,1,1,0,0
5,0,1,1,0,0,0,1,1,0,0
6,1,1,0,0,1,0,0,1,0,1
7,1,0,1,1,1,0,0,1,0,0
8,0,1,0,1,0,0,0,0,0,0
9,0,1,1,0,1,0,0,0,1,0
10,1,1,1,0,1,1,0,0,1,1
11,1,1,0,0,0,0,0,1,0,0
12,1,1,0,0,1,0,1,0,1,1
13,0,0,0,0,1,1,0,1,1,0
14,1,1,0,0,0,1,0,0,0,1
15,1,1,0,0,1,0,0,0,1,0
16,1,1,0,0,0,1,1,1,0,1
17,0,1,1,0,0,0,0,0,1,0
18,0,0,0,0,0,1,0,0,1,1
19,1,1,1,1,0,1,1,0,0,1
20,0,1,1,1,0,0,0,1,0,0
21,1,0,0,1,0,0,0,1,0,1
22,1,0,0,1,1,1,1,1,0,0
23,0,1,0,0,1,1,1,0,1,1
24,1,1,1,1,0,0,0,1,0,0
25,0,1,0,1,1,0,0,1,1,0
26,1,1,0,1,0,1,0,1,1,0
27,0,1,1,1,1,0,0,0,1,1
28,0,1,1,1,1,0,0,0,0,0
29,0,0,1,1,1,1,1,1,0,1
30,0,1,0,1,0,1,0,1,0,0
31,0,1,1,0,0,1,1,1,1,0
32,0,1,1,0,1,1,1,1,1,0
33,1,0,1,1,1,0,1,0,0,0
34,0,0,0,1,1,0,0,1,0,1
35,1,0,1,0,0,0,1,1,0,0
36,0,1,1,1,1,1,1,0,0,1
37,1,0,1,0,0,0,1,1,1,1
38,0,1,1,0,0,0,1,0,0,1
39,0,0,0,0,0,0,1,0,0,1
40,1,1,1,0,1,1,0,0,0,0
41,1,0,1,0,1,0,1,0,1,0
42,0,1,0,0,0,0,0,1,1,0
43,0,1,0,1,1,0,1,0,0,1
44,1,0,1,0,0,1,0,0,0,1
45,1,0,0,0,0,1,0,1,0,0
46,0,1,1,0,0,1,0,0,0,0
47,1,1,1,1,0,1,1,0,1,0
48,0,0,1,1,0,0,0,0,0,1
49,0,0,1,0,0,0,1,1,0,1
50,0,0,1,1,1,1,1,0,0,0
51,0,1,1,0,0,1,1,1,1,1
52,0,0,0,0,0,1,0,1,1,1
53,1,1,1,0,1,1,1,1,1,1
54,0,1,1,1,1,1,1,0,1,0
55,1,1,0,1,1,1,0,0,1,0
56,0,1,0,0,1,0,1,1,0,1
57,1,0,0,1,1,1,0,0,0,0
58,1,1,1,0,0,1,1,1,1,1
59,0,0,1,1,0,0,1,1,0,0
60,0,0,1,0,1,0,0,1,0,1
61,0,0,1,1,0,0,0,1,0,0
62,1,0,0,1,1,0,0,1,0,1
63,1,1,0,1,0,1,1,1,1,1
64,0,0,0,1,0,0,0,1,0,0
65,1,1,0,1,0,1,0,0,1,0
66,0,0,1,1,1,0,0,1,1,1
67,0,1,1,1,0,1,1,0,1,1
68,1,1,0,1,1,1,0,1,1,1
69,1,1,0,0,1,0,0,0,1,1
70,1,0,0,0,1,1,1,0,1,0
71,0,1,0,1,0,0,1,1,0,0
72,0,0,1,1,1,0,0,1,0,0
73,1,1,0,1,1,0,1,0,1,0
74,0,1,1,1,0,0,1,1,0,1
75,0,1,1,0,0,1,0,1,1,0
76,0,1,1,0,0,0,0,1,1,1
77,1,0,0,1,1,1,0,1,0,0
78,0,0,0,0,1,0,0,0,1,1
79,1,1,0,0,0,1,1,1,0,1
80,0,1,0,0,1,1,1,1,0,0
81,0,1,1,0,0,1,1,0,1,1
82,1,1,0,1,0,0,0,0,1,0
83,1,0,1,1,0,0,0,1,1,1
